ticker,name,index,sector,currency,stamp_duty
III.L,3i Group,FTSE100,Financial Services,GBp,Y
ADM.L,Admiral Group,FTSE100,Insurance,GBp,Y
AAF.L,Airtel Africa,FTSE100,Telecoms,GBp,Y
ALW.L,Alliance Witan,FTSE100,Investment Trust,GBp,Y
AAL.L,Anglo American,FTSE100,Mining,GBp,Y
ANTO.L,Antofagasta,FTSE100,Mining,GBp,Y
AHT.L,Ashtead Group,FTSE100,Industrial Rental,GBp,Y
ABF.L,Associated British Foods,FTSE100,Food Producers,GBp,Y
AZN.L,AstraZeneca,FTSE100,Pharmaceuticals,GBp,Y
AUTO.L,Auto Trader Group,FTSE100,Media & Internet,GBp,Y
AV.L,Aviva,FTSE100,Insurance,GBp,Y
BAB.L,Babcock International,FTSE100,Aerospace & Defence,GBp,Y
BA.L,BAE Systems,FTSE100,Aerospace & Defence,GBp,Y
BARC.L,Barclays,FTSE100,Banks,GBp,Y
BTRW.L,Barratt Redrow,FTSE100,Housebuilders,GBp,Y
BEZ.L,Beazley,FTSE100,Insurance,GBp,Y
BKG.L,Berkeley Group,FTSE100,Housebuilders,GBp,Y
BLND.L,British Land,FTSE100,REIT,GBp,Y
BP.L,BP,FTSE100,Oil & Gas,GBp,Y
BATS.L,British American Tobacco,FTSE100,Tobacco,GBp,Y
BT-A.L,BT Group,FTSE100,Telecoms,GBp,Y
BNZL.L,Bunzl,FTSE100,Distribution,GBp,Y
CNA.L,Centrica,FTSE100,Utilities,GBp,Y
CCH.L,Coca-Cola HBC,FTSE100,Beverages,GBp,N
CPG.L,Compass Group,FTSE100,Food Services,GBp,Y
CTEC.L,ConvaTec Group,FTSE100,Medical Devices,GBp,Y
CRDA.L,Croda International,FTSE100,Chemicals,GBp,Y
DCC.L,DCC,FTSE100,Distribution,GBp,N
DGE.L,Diageo,FTSE100,Beverages,GBp,Y
DPLM.L,Diploma,FTSE100,Distribution,GBp,Y
EDV.L,Endeavour Mining,FTSE100,Mining,GBp,N
ENT.L,Entain,FTSE100,Gambling,GBp,Y
EXPN.L,Experian,FTSE100,Data & Analytics,GBp,N
FCIT.L,F&C Investment Trust,FTSE100,Investment Trust,GBp,Y
FRAS.L,Frasers Group,FTSE100,Retail,GBp,Y
FRES.L,Fresnillo,FTSE100,Mining,GBp,Y
GAW.L,Games Workshop,FTSE100,Leisure Goods,GBp,Y
GLEN.L,Glencore,FTSE100,Mining,GBp,N
GSK.L,GSK,FTSE100,Pharmaceuticals,GBp,Y
HLN.L,Haleon,FTSE100,Consumer Health,GBp,Y
HLMA.L,Halma,FTSE100,Industrials,GBp,Y
HIK.L,Hikma Pharmaceuticals,FTSE100,Pharmaceuticals,GBp,Y
HSX.L,Hiscox,FTSE100,Insurance,GBp,N
HWDN.L,Howden Joinery,FTSE100,Building Products,GBp,Y
HSBA.L,HSBC Holdings,FTSE100,Banks,GBp,Y
IHG.L,InterContinental Hotels,FTSE100,Hotels,GBp,Y
IMI.L,IMI,FTSE100,Industrials,GBp,Y
IMB.L,Imperial Brands,FTSE100,Tobacco,GBp,Y
INF.L,Informa,FTSE100,Media & Events,GBp,Y
ICG.L,Intermediate Capital Group,FTSE100,Financial Services,GBp,Y
IAG.L,International Consolidated Airlines,FTSE100,Airlines,GBp,Y
ITRK.L,Intertek Group,FTSE100,Testing & Inspection,GBp,Y
JD.L,JD Sports Fashion,FTSE100,Retail,GBp,Y
KGF.L,Kingfisher,FTSE100,Retail,GBp,Y
LAND.L,Land Securities,FTSE100,REIT,GBp,Y
LGEN.L,Legal & General,FTSE100,Insurance & Asset Mgmt,GBp,Y
LLOY.L,Lloyds Banking Group,FTSE100,Banks,GBp,Y
LSEG.L,London Stock Exchange Group,FTSE100,Financial Data,GBp,Y
LMP.L,LondonMetric Property,FTSE100,REIT,GBp,Y
MNG.L,M&G,FTSE100,Asset Management,GBp,Y
MKS.L,Marks & Spencer,FTSE100,Retail,GBp,Y
MRO.L,Melrose Industries,FTSE100,Aerospace,GBp,Y
MNDI.L,Mondi,FTSE100,Packaging,GBp,Y
NG.L,National Grid,FTSE100,Utilities,GBp,Y
NWG.L,NatWest Group,FTSE100,Banks,GBp,Y
NXT.L,Next,FTSE100,Retail,GBp,Y
PSON.L,Pearson,FTSE100,Education & Media,GBp,Y
PSH.L,Pershing Square Holdings,FTSE100,Investment Trust,GBp,N
PSN.L,Persimmon,FTSE100,Housebuilders,GBp,Y
PHNX.L,Phoenix Group,FTSE100,Insurance,GBp,Y
PCT.L,Polar Capital Technology,FTSE100,Investment Trust,GBp,Y
PRU.L,Prudential,FTSE100,Insurance,GBp,Y
RKT.L,Reckitt Benckiser,FTSE100,Consumer Goods,GBp,Y
REL.L,RELX,FTSE100,Data & Analytics,GBp,Y
RTO.L,Rentokil Initial,FTSE100,Business Services,GBp,Y
RIO.L,Rio Tinto,FTSE100,Mining,GBp,Y
RMV.L,Rightmove,FTSE100,Media & Internet,GBp,Y
RR.L,Rolls-Royce Holdings,FTSE100,Aerospace & Defence,GBp,Y
SGE.L,Sage Group,FTSE100,Software,GBp,Y
SBRY.L,J Sainsbury,FTSE100,Food Retail,GBp,Y
SDR.L,Schroders,FTSE100,Asset Management,GBp,Y
